pct_TQQQ,final_value,invested,return_pct
1,16940519.59409979,486000.0,33.85703620185142
2,17871426.579270367,486000.0,35.772482673395814
3,18841654.0972542,486000.0,37.76883559105803
4,19851885.050523132,486000.0,39.84750010395706
5,20902737.07579063,486000.0,42.00974706952804
6,21994756.118911505,486000.0,44.256699833151245
7,23128409.921188314,486000.0,46.589320825490354
8,24304081.447389558,486000.0,49.00839803989621
9,25522062.288207635,486000.0,51.51453145721736
10,26782546.072245944,486000.0,54.108119490217994
11,28085621.924842086,486000.0,56.78934552436643
12,29431268.013186157,486000.0,59.55816463618551
13,30819345.219140634,486000.0,62.41429057436344
14,32249590.982955806,486000.0,65.35718309250166
15,33721613.36266899,486000.0,68.38603572565636
16,35234885.35530796,486000.0,71.49976410557193
17,36788739.52711527,486000.0,74.69699491175982
18,38382363.00081933,486000.0,77.97605555724142
19,40014792.84845811,486000.0,81.33496470876155
20,41684911.93845188,486000.0,84.77142374167053
21,43391445.28539042,486000.0,88.28280922919839
22,45132956.95047334,486000.0,91.86616656475995
23,46907847.53956498,486000.0,95.51820481391971
24,48714352.34446947,486000.0,99.23529288985488
25,50550540.17125505,486000.0,103.0134571425001
26,52414312.897239834,486000.0,106.84838044699555
27,54303405.79563044,486000.0,110.73540287166757
28,56215388.663718425,486000.0,114.66952399942063
29,58147667.78704263,486000.0,118.64540696922353
30,60097488.76800774,486000.0,122.65738429631222
31,62061940.243080854,486000.0,126.69946552074249
32,64037958.507989936,486000.0,130.76534672425913
33,66022333.06519556,486000.0,134.84842194484682
34,68011713.10244817,486000.0,138.94179650709498
35,70002614.90545015,486000.0,143.03830227458877
36,71991430.20153849,486000.0,147.13051481798044
37,73974435.42498706,486000.0,151.21077247939724
38,75947801.88793065,486000.0,155.27119730026882
39,77907606.83422777,486000.0,159.30371776590076
40,79849845.34672813,486000.0,163.30009330602496
41,81770443.0714983,486000.0,167.25194047633397
42,83665269.71566129,486000.0,171.15076073181334
43,85530153.26865898,486000.0,174.98796968859872
44,87360894.88996795,486000.0,178.7549277571357
45,89153284.39975888,486000.0,182.44297201596476
46,90903116.3026478,486000.0,186.04344918240287
47,92606206.26864807,486000.0,189.54774952396724
48,94258407.98978347,486000.0,192.94734154276432
49,95855630.3255418,486000.0,196.23380725420122
50,97393854.64566457,486000.0,199.3988778717378
51,98869152.27448857,486000.0,202.43446970059375
52,100277701.93750481,486000.0,205.33272003601815
53,101615807.1078127,486000.0,208.0860228555817
54,102879913.14792255,486000.0,210.6870640903756
55,104066624.14083084,486000.0,213.1288562568536
56,105172719.30357112,486000.0,215.4047722295702
57,106195168.87651789,486000.0,217.508577935222
58,107131149.38263401,486000.0,219.43446375027574
59,107978058.15260738,486000.0,221.17707438808102
60,108733527.01443574,486000.0,222.7315370667402
61,109395435.04950112,486000.0,224.09348775617514
62,109961920.32148203,486000.0,225.25909531169142
63,110431390.48962025,486000.0,226.22508331197582
64,110802532.22381333,486000.0,226.98874943171467
65,111074319.34575093,486000.0,227.54798219290313
66,111246019.6277721,486000.0,227.90127495426356
67,111317200.18930429,486000.0,228.0477370150294
68,111287731.4394932,486000.0,227.98710172735224
69,111157789.52401704,486000.0,227.71973153089925
70,110927857.2438871,486000.0,227.24661984338908
71,110598723.42430647,486000.0,226.56938976194746
72,110171480.72222067,486000.0,225.69028955189438
73,109647521.87203513,486000.0,224.612184921883
74,109028534.3799301,486000.0,223.33854810685204
75,108316493.68821594,486000.0,221.87344380291347
76,107513654.84218654,486000.0,220.22151202095995
77,106622542.70271869,486000.0,218.38794794798085
78,105645940.75849319,486000.0,216.37847892694072
79,104586878.60195184,486000.0,214.1993386871437
80,103448618.14293596,486000.0,211.8572389772345
81,102234638.64323583,486000.0,209.35933877209018
82,100948620.66396485,486000.0,206.71321124272603
83,99594429.0256574,486000.0,203.9268086947683
84,98176094.8881878,486000.0,201.00842569585967
85,96697797.06397134,486000.0,197.96666062545543
86,95163842.68336618,486000.0,194.81037589169995
87,93578647.33568855,486000.0,191.54865706931798
88,91946714.81273955,486000.0,188.19077121962872
89,90272616.58419195,486000.0,184.74612465883118
90,88560971.13559732,486000.0,181.22422044361588
91,86816423.3000455,486000.0,177.63461584371504
92,85043623.71379264,486000.0,173.98688006953216
93,83247208.52429776,486000.0,170.29055251913118
94,81431779.47625986,486000.0,166.55510180300382
95,79601884.49730542,486000.0,162.78988579692475
96,77761998.90012899,486000.0,159.00411296322838
97,75916507.31203963,486000.0,155.20680516880583
98,74069686.43619823,486000.0,151.40676221439966
99,72225688.7413343,486000.0,147.6125282743504
